begin
TCT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCTAC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCTBD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KWD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WPM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KWR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
""
end
TCT
103148.3288758937,103148.3288758937,103148.3288758937,103148.3288758937,103148.3288758937,103148.3288758937,103148.3288758937,103148.3288758937,103148.3288758937,103148.3288758937
DCTAC
86477.2699484891,86477.2699484891,86477.2699484891,86477.2699484891,86477.2699484891,86477.2699484891,86477.2699484891,86477.2699484891,86477.2699484891,86477.2699484891
DCTBD
39551.14630743154,39551.14630743154,39551.14630743154,39551.14630743154,39551.14630743154,39551.14630743154,39551.14630743154,39551.14630743154,39551.14630743154,39551.14630743154
KWD
65.33716455793851,65.33716455793851,65.33716455793851,65.33716455793851,65.33716455793851,65.33716455793851,65.33716455793851,65.33716455793851,65.33716455793851,65.33716455793851
WPM
2461.1964876880384,2461.1964876880384,2461.1964876880384,2461.1964876880384,2461.1964876880384,2461.1964876880384,2461.1964876880384,2461.1964876880384,2461.1964876880384,2461.1964876880384
KWR
215.84972892686525,215.84972892686525,215.84972892686525,215.84972892686525,215.84972892686525,215.84972892686525,215.84972892686525,215.84972892686525,215.84972892686525,215.84972892686525
MR
406.25270032554613,406.25270032554613,406.25270032554613,406.25270032554613,406.25270032554613,406.25270032554613,406.25270032554613,406.25270032554613,406.25270032554613,406.25270032554613
MA
1721.1856454674787,1721.1856454674787,1721.1856454674787,1721.1856454674787,1721.1856454674787,1721.1856454674787,1721.1856454674787,1721.1856454674787,1721.1856454674787,1721.1856454674787
MAC
4004.7079143615415,4004.7079143615415,4004.7079143615415,4004.7079143615415,4004.7079143615415,4004.7079143615415,4004.7079143615415,4004.7079143615415,4004.7079143615415,4004.7079143615415
MBD
102606.59337766579,102606.59337766579,102606.59337766579,102606.59337766579,102606.59337766579,102606.59337766579,102606.59337766579,102606.59337766579,102606.59337766579,102606.59337766579
PR
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
RAC
103271.13872804871,103271.13872804871,103271.13872804871,103271.13872804871,103271.13872804871,103271.13872804871,103271.13872804871,103271.13872804871,103271.13872804871,103271.13872804871
