begin
TCT
103148.3288758937,206296.6577517874,309444.98662768106,412593.3155035748,515741.6443794685,618889.9732553621,722038.3021312559,825186.6310071496,928334.9598830433,1031483.288758937
DCTAC
86477.2699484891,172954.5398969782,259431.80984546733,345909.0797939564,432386.3497424455,518863.61969093466,605340.8896394237,691818.1595879128,778295.429536402,864772.699484891
DCTBD
39551.14630743154,79102.29261486308,118653.43892229462,158204.58522972616,197755.7315371577,237306.87784458924,276858.0241520208,316409.1704594523,355960.3167668838,395511.4630743154
KWD
65.33716455793851,130.67432911587701,196.01149367381552,261.34865823175403,326.68582278969257,392.02298734763104,457.3601519055695,522.6973164635081,588.0344810214466,653.3716455793851
WPM
2461.1964876880384,4922.392975376077,7383.589463064115,9844.785950752153,12305.98243844019,14767.17892612823,17228.37541381627,19689.571901504307,22150.768389192344,24611.96487688038
KWR
215.84972892686525,431.6994578537305,647.5491867805957,863.398915707461,1079.2486446343262,1295.0983735611915,1510.9481024880567,1726.797831414922,1942.6475603417873,2158.4972892686524
MR
406.25270032554613,812.5054006510923,1218.7581009766384,1625.0108013021845,2031.2635016277306,2437.516201953277,2843.7689022788227,3250.021602604369,3656.2743029299154,4062.5270032554613
MA
1721.1856454674787,3442.3712909349574,5163.556936402436,6884.742581869915,8605.928227337394,10327.113872804872,12048.299518272352,13769.48516373983,15490.670809207308,17211.856454674788
MAC
4004.7079143615415,8009.415828723083,12014.123743084625,16018.831657446166,20023.53957180771,24028.24748616925,28032.95540053079,32037.663314892332,36042.37122925388,40047.07914361542
MBD
102606.59337766579,205213.18675533158,307819.7801329974,410426.37351066316,513032.96688832896,615639.5602659947,718246.1536436605,820852.7470213263,923459.3403989922,1026065.9337766579
PR
2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0
RAC
103271.13872804871,206542.27745609742,309813.41618414613,413084.55491219484,516355.69364024355,619626.8323682923,722897.971096341,826169.1098243897,929440.2485524383,1032711.3872804871
""
end
TCT
206296.6577517874,309444.98662768106,412593.3155035748,515741.6443794685,618889.9732553621,722038.3021312559,825186.6310071496,928334.9598830433,1031483.288758937,1134631.6176348308
DCTAC
172954.5398969782,259431.80984546733,345909.0797939564,432386.3497424455,518863.61969093466,605340.8896394237,691818.1595879128,778295.429536402,864772.699484891,951249.9694333802
DCTBD
79102.29261486308,118653.43892229462,158204.58522972616,197755.7315371577,237306.87784458924,276858.0241520208,316409.1704594523,355960.3167668838,395511.4630743154,435062.60938174697
KWD
130.67432911587701,196.01149367381552,261.34865823175403,326.68582278969257,392.02298734763104,457.3601519055695,522.6973164635081,588.0344810214466,653.3716455793851,718.7088101373236
WPM
4922.392975376077,7383.589463064115,9844.785950752153,12305.98243844019,14767.17892612823,17228.37541381627,19689.571901504307,22150.768389192344,24611.96487688038,27073.161364568423
KWR
431.6994578537305,647.5491867805957,863.398915707461,1079.2486446343262,1295.0983735611915,1510.9481024880567,1726.797831414922,1942.6475603417873,2158.4972892686524,2374.3470181955176
MR
812.5054006510923,1218.7581009766384,1625.0108013021845,2031.2635016277306,2437.516201953277,2843.7689022788227,3250.021602604369,3656.2743029299154,4062.5270032554613,4468.779703581007
MA
3442.3712909349574,5163.556936402436,6884.742581869915,8605.928227337394,10327.113872804872,12048.299518272352,13769.48516373983,15490.670809207308,17211.856454674788,18933.042100142266
MAC
8009.415828723083,12014.123743084625,16018.831657446166,20023.53957180771,24028.24748616925,28032.95540053079,32037.663314892332,36042.37122925388,40047.07914361542,44051.78705797696
MBD
205213.18675533158,307819.7801329974,410426.37351066316,513032.96688832896,615639.5602659947,718246.1536436605,820852.7470213263,923459.3403989922,1026065.9337766579,1128672.5271543236
PR
4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0
RAC
206542.27745609742,309813.41618414613,413084.55491219484,516355.69364024355,619626.8323682923,722897.971096341,826169.1098243897,929440.2485524383,1032711.3872804871,1135982.5260085359
